id,difficulty,message,expected,predicted,correct,sampled_token,logprob_a,logprob_b,p_a,p_b,confidence,margin,latency_sec,prompt_tokens,completion_tokens,error,logprob_margin
case_001,easy,Пишет ошибку 403.,A,A,True,A,-2.3841855067985307e-07,-16.1875,0.9999999067050498,9.329495020108236e-08,0.9999999067050498,0.9999998134100996,0.07706208700074058,253,1,,16.18749976158145
case_002,easy,А платить можно помесячно?,A,A,True,A,-1.1920928244535389e-07,-16.71875,0.9999999451547325,5.484526744939479e-08,0.9999999451547325,0.999999890309465,0.032875872000659,251,1,,16.718749880790718
case_003,easy,А сколько стоит тариф Pro?,B,A,False,A,0.0,-18.6875,0.9999999923418853,7.658114688852598e-09,0.9999999923418853,0.9999999846837706,0.017822753000473313,252,1,,18.6875
case_004,easy,С 10 по 17 сентября.,A,A,True,A,0.0,-17.78125,0.9999999810459842,1.8954015673910487e-08,0.9999999810459842,0.9999999620919685,0.025527825000608573,246,1,,17.78125
case_005,easy,А как оформить больничный?,B,A,False,A,0.0,-20.8125,0.9999999990853685,9.146313747844331e-10,0.9999999990853685,0.9999999981707371,0.020236865999322617,244,1,,20.8125
case_006,easy,Лишний платёж вернётся автоматически?,A,A,True,A,-2.3841855067985307e-07,-16.4375,0.9999999273418183,7.265818177264085e-08,0.9999999273418183,0.9999998546836365,0.033001901000716316,257,1,,16.43749976158145
case_007,easy,Как удалить мой аккаунт?,B,A,False,A,-1.1920928244535389e-07,-16.5,0.9999999317439627,6.825603724121504e-08,0.9999999317439627,0.9999998634879255,0.01752630400005728,253,1,,16.499999880790718
case_008,easy,PDF тоже поддерживается?,A,A,True,A,-0.001032891683280468,-6.876032829284668,0.9989677688989018,0.00103223110109812,0.9989677688989018,0.9979355377978038,0.0294467359999544,245,1,,6.8749999376013875
case_009,easy,А где поменять пароль?,B,A,False,A,-1.1920928244535389e-07,-15.9375,0.9999998802069302,1.1979306985206997e-07,0.9999998802069302,0.9999997604138604,0.017284226999436214,247,1,,15.937499880790718
case_010,easy,А можно ещё за прошлый квартал?,A,A,True,A,-2.3841855067985307e-07,-18.15625,0.9999999869731051,1.3026894945779728e-08,0.9999999869731051,0.9999999739462102,0.03294416100015951,259,1,,18.15624976158145
case_011,easy,Теперь создай отпуск Иванову.,B,A,False,A,-2.3841855067985307e-07,-20.375,0.999999998583391,1.416609122382269e-09,0.999999998583391,0.9999999971667818,0.019729539000763907,258,1,,20.37499976158145
